utt_key,transcription,counts
2218609886_892dcd6915_2,"a man wearing a dark blue hat sits on the ground and leans against a building","wearing=2|building=4|stands=1|sitting=3|park=1|street=1|sits=2|hat=5"
2224450291_4c133fabe8_2,"a man taking a picture with a silver camera","stands=1|carrying=1|young=1|sand=1|camera=5|holding=3|small=1|shirt=1"
2225231022_1632d0a5aa_4,"two women and a man smile for the camera","shirt=1|three=1|face=2|field=1|camera=5|mouth=1|smiling=5|children=1|women=5"
2228022180_9597b2a458_2,"group of children in blue uniforms sitting on steps","wearing=1|building=1|little=2|sitting=3|football=1|young=3|street=1|sits=4|children=5|road=1"
2229179070_dc8ea8582e_2,"a dog jumps through a black hulahoop","toy=1|jumps=5|park=1|air=1|running=2|black=1|dogs=5"
223299142_521aedf9e7_4,"the person is high on a mountain during sunset","wearing=1|mountain=4|stands=1|sitting=1|top=2|air=1|mouth=1|orange=1|climbing=4|red=1"
2238019823_79318d1f11_3,"a surfer under a bridge","stands=1|rides=1|ocean=1|water=3|riding=2|face=1|beach=4|swimming=1"
2238759450_6475641bdb_4,"someone is pulling an inflatable boat with an oar in it","stands=1|young=1|air=1|water=4|carrying=3|holding=2|grass=1|beach=3|pool=1|swimming=2"
2239938351_43c73c887c_0,"a big black dog carries a blue ball while two corgis run at his side","little=1|ball=3|carrying=2|park=1|three=1|large=2|field=1|running=5|street=1|black=4|holding=4|small=3|toy=2|dogs=5"
224369028_b1ac40d1fa_0,"a little blonde girl is standing in front of a water fountain","little=4|stands=4|park=1|young=5|face=2|water=4|mouth=2|small=5|smiling=1|children=4|pool=1|shirt=1"
2247889670_413db8094b_3,"a man in a brown jacket is running on a sandy bay towards a dog that is in turn running towards him","wearing=1|water=3|brown=4|sand=3|ocean=2|jacket=4|running=4|smiling=1|beach=3|dogs=4"
2248487950_c62d0c81a9_1,"a man talks on his cellphone and another man rides a wheelchair","sitting=4|face=3|carrying=1|mouth=1|holding=3|walks=1|riding=3|sits=1|rides=3"
2251747182_6b67a3ab8b_2,"a young boy playing basketball is getting ready to take a shot","boy=4|little=3|ball=5|stands=3|jumps=2|young=5|air=1|carrying=2|mouth=1|holding=1|walks=1|orange=1|face=2|children=3|shirt=1"
2256133102_e2c8314ecb_1,"a man is hanging by a line off a cliff above water","large=1|boy=1|face=1|jumps=1|air=4|water=4|rock=2|climbing=1|smiling=1|ocean=4"
2265096094_8cc34d669c_0,"a donkey pulling a cart with a boy in it takes a brake","boy=2|young=5|field=1|carrying=3|small=1|riding=2|rides=1|children=3|road=2"
226607225_44d696db6b_1,"a large fish breaching the water 's surface","water=5|jumps=1|large=1|mouth=1|beach=1|swimming=2"
2271755053_e1b1ec8442_1,"a young boy is playing basketball in an official game","wearing=1|boy=5|little=2|ball=4|young=4|jacket=1|field=1|running=1|toy=1|holding=1|small=3|children=3"
2274992140_bb9e868bb8_3,"two young children are playing in the living room with some toys","boy=2|little=2|ball=1|sitting=2|camera=1|carrying=1|young=4|small=2|running=1|toy=5|holding=1|baby=1|children=5"
2280525192_81911f2b00_2,"a dog wearing a red harness runs across a field","wearing=5|park=2|field=4|running=5|mouth=1|walks=1|grass=3|dogs=4|red=3"
2283966256_70317e1759_2,"a dog with a snub nose smells for somthing on a riverbank","brown=1|toy=1|face=1|rock=1|air=1|water=5|field=1|running=2|mouth=2|walks=1|small=1|grass=1|dogs=5|road=1"
2285570521_05015cbf4b_2,"a man is hiking on a snow-covered trail","mountain=1|dirt=1|rock=1|snowy=4|snow=4|face=1|field=2|carrying=1|walks=3|climbing=2|white=1|road=2"
2288099178_41091aa00c_4,"two children are skating quickly on ice","hair=1|little=1|snowy=2|water=1|young=5|snow=2|jacket=1|small=2|children=5"
2289068031_fe26990183_1,"a motorbike jumping a pole","bike=5|race=2|jumps=5|park=1|air=1|field=2|street=2|riding=3|rides=2|road=1"
2292406847_f366350600_1,"a man is rowing in a small boat called neptuno","little=1|sitting=2|rides=2|carrying=1|snow=1|ocean=1|water=3|race=1|mouth=1|small=1|riding=4|beach=1"
2295216243_0712928988_4,"several people are dancing in some sand","dirt=1|face=1|three=1|young=1|sand=5|mouth=1|smiling=1|sits=1|beach=2"
2295750198_6d152d7ceb_4,"person walking in the field","field=4|rock=1|grass=4|park=2|walks=2"
229862312_1a0ba19dab_4,"a golden dog is laying on its back in the grass","field=3|grass=5|dogs=5|yellow=2|face=1"
2300168895_a9b83e16fc_3,"a dog sitting on grass","brown=1|sits=5|sitting=5|park=1|grass=5|dogs=5"
2301525531_edde12d673_3,"a small white and black dog jumping in the snow","little=1|snowy=5|snow=5|jumps=5|young=1|air=2|black=3|walks=1|small=4|white=5|dogs=3"
2306674172_dc07c7f847_1,"a man flies through the air on his skateboard above a white staircase","jumps=3|skateboard=5|air=2|hair=1|street=1|riding=3|white=3|face=1|rides=3"
2307118114_c258e3a47e_4,"there is a man with a black shirt and a black hat smiling","wearing=3|shirt=3|sitting=1|top=1|face=2|black=5|mouth=1|smiling=5|hat=4"
2308271254_27fb466eb4_2,"two dogs moving through water close to the shore","sand=2|ocean=4|water=4|running=2|walks=1|beach=3|dogs=5|swimming=3"
2308978137_bfe776d541_1,"a large group of people wearing similar clothing riding a single vehicle","wearing=5|car=2|rides=2|three=1|large=3|street=2|riding=4|sits=2|hat=1|road=1|women=1"
2309860995_c2e2a0feeb_1,"a woman wearing a black coat and sunglasses is standing in front of a man walking away with a backpack","wearing=5|jacket=1|stands=4|carrying=2|park=1|large=1|running=1|street=2|black=3|holding=1|walks=3|women=3"
2310126952_7dc86d88f6_0,"a dog sled team seen from behind","snowy=2|carrying=1|snow=3|running=1|race=3|riding=1|rides=1|dogs=4"
2311690895_0d6efe11c8_1,"a dog bites someone 's finger","mouth=2|dogs=5"
2317714088_bcd081f926_2,"people stand outside a house","building=4|face=1|street=3|stands=5|air=1"
2333288869_8c01e4c859_3,"a woman holds a baby 's hand and walks in the water","little=4|stands=1|park=1|young=4|ocean=2|water=5|baby=5|sand=1|holding=4|walks=4|small=5|smiling=1|women=2|beach=4|children=3|pool=2|swimming=2"
2339106348_2df90aa6a9_1,"an asian boy and an asian girl are smiling in a crowd of people","boy=4|stands=1|young=2|face=4|large=3|mouth=2|small=2|smiling=5|children=4"
2340206885_58754a799a_0,"a group of dogs look at each other while standing in the snow","stands=3|snowy=4|snow=4|field=1|mouth=1|white=2|dogs=4|road=1"
2343525685_3eba3b6686_3,"a man struggles to climb a rock wall","wearing=1|mountain=2|building=1|dirt=1|holding=1|rock=4|climbing=5|beach=1|shirt=1"
2345984157_724823b1e4_4,"a gray dog is shaking water from its body","water=4|sitting=1|ocean=1|hair=1|mouth=1|dogs=4|swimming=1"
2346401538_f5e8da66fc_4,"the woman in blue is operating a camera in front of two other women","wearing=1|shirt=1|camera=3|three=2|face=1|carrying=2|mouth=1|soccer=1|women=4"
2351479551_e8820a1ff3_3,"man with blue pants flipping in the air","wearing=2|park=1|jumps=3|skateboard=1|air=3|hair=1|rides=1"
2354540393_a149722680_0,"a little girl is falling backwards onto a bed","little=4|sitting=2|face=1|young=4|air=1|small=2|baby=1|smiling=1|sits=1|children=4"
2358554995_54ed3baa83_1,"a child is holding on to the top of a playground slide","boy=2|little=2|dirt=1|tree=1|top=2|park=4|young=4|face=1|mouth=1|holding=2|small=3|climbing=4|smiling=2|grass=1|rides=1|children=5"
2358561039_e215a8d6cd_3,"the dogs are pulling a man on a type of bike through the snow","boy=1|toy=1|snowy=5|snow=5|bike=3|race=2|holding=1|walks=1|riding=4|white=12|sits=1|rides=4|dogs=15|road=1"
2358898017_24496b80e8_1,"a dog is crouching on the grass near a hurdle","sitting=4|jumps=2|dirt=1|field=1|grass=4|dogs=5"
2370481277_a3085614c9_0,"a group of young boys playing soccer","boy=4|soccer=5|ball=4|dirt=2|jumps=1|football=1|park=4|young=5|three=1|field=3|running=3|holding=1|small=2|grass=4|children=4"
2373234213_4ebe9c4ee5_0,"a boy jumping over another boy on a trampoline","boy=5|little=2|jumps=5|young=4|air=2|children=5"
2374652725_32f90fa15c_2,"a small dog and a large dog in the snow","brown=1|little=2|snowy=2|sitting=1|rock=1|snow=5|large=2|race=1|mouth=2|holding=1|walks=1|small=1|white=1|dogs=4|road=1"
2378149488_648e5deeac_4,"kid wearing a paper crown sitting in a shopping cart","wearing=3|boy=1|little=1|shirt=1|sitting=4|top=1|young=5|small=1|riding=2|sits=4|hat=3|children=5"
2384353160_f395e9a54b_4,"the man is wearing a black hat a beige shirt and has his sunglasses hanging off the shirt","wearing=4|brown=1|shirt=4|young=1|air=1|black=4|face=1|hat=5"
2393264648_a280744f97_3,"a woman is taking a photograph on a beach at the edge of the water while a girl stands in the foreground","little=2|stands=2|face=1|camera=4|young=4|ocean=3|water=3|sand=4|carrying=1|mouth=1|holding=3|small=1|smiling=2|grass=1|beach=5|children=2|pool=2|women=5"
2396025708_e4a72e2558_2,"a man windsurfs in the ocean","wearing=1|boy=1|stands=1|rides=4|jumps=1|young=1|air=2|water=4|field=1|sand=3|riding=3|white=1|ocean=4|beach=3|smiling=1|swimming=1"
2396691909_6b8c2f7c44_4,"two teenage girls are wearing fancy dresses at an event","wearing=5|young=4|mouth=1|walks=1|orange=1|children=1|women=1"
2398605966_1d0c9e6a20_4,"two small dogs playing in the snow together","mountain=1|little=2|snowy=4|snow=5|field=1|small=4|white=4|dogs=5"
241031254_0c6f30e3d1_3,"a short stubby man with a backpack is standing in a forest","wearing=2|little=1|stands=2|dirt=2|tree=2|park=1|snow=1|field=2|carrying=1|holding=1|walks=1|small=3|climbing=1|road=1"
2410320522_d967f0b75c_0,"a big dog holds its paw out to keep another dog at bay","brown=1|little=1|stands=1|sitting=1|large=4|mouth=1|holding=2|dogs=5"
241345811_46b5f157d4_1,"a football coach speaks with a player","ball=2|football=5|young=1|face=1|field=3|mouth=1|soccer=1|children=1"
241345844_69e1c22464_4,"the coach talks it over with his quarterback during a timeout","wearing=1|stands=1|football=5|face=1|field=3|camera=1|mouth=2|grass=1|shirt=1"
241345905_5826a72da1_4,"two men help an injured player on the field","boy=1|soccer=2|ball=1|carrying=1|football=2|young=1|three=1|field=5|camera=1|holding=2|grass=3"
241346508_0b3907a95b_3,"the man in red has the football and the team in white is nearby","wearing=2|ball=4|shirt=3|football=5|face=1|field=3|carrying=1|mouth=1|holding=3|white=3|soccer=2|red=3"
241346971_c100650320_2,"the guy in the blue and white jersey is running and the guy in the red and white jersey is falling","wearing=2|boy=1|shirt=3|field=1|running=4|race=3|white=3|red=2"
241347204_007d83e252_2,"football players gathering to contest something to collaborating officials","wearing=1|soccer=1|ball=4|stands=2|football=5|park=1|large=1|field=3|running=1|walks=1|grass=1"
241347760_d44c8d3a01_3,"guy in red and white football uniform","wearing=3|ball=2|shirt=1|football=3|face=1|white=2|soccer=2|red=3"
2414397449_2ac3b78e0d_3,"two dogs are playing in a field of tall grass","toy=1|park=1|field=3|running=2|mouth=1|grass=12|dogs=15"
2415803492_56a673dc25_4,"the man wearing the blues brothers suit is dancing with the little girl in the pink top","wearing=4|pink=4|little=3|shirt=3|top=3|young=5|jacket=4|black=1|holding=1|small=3|smiling=1|children=4|red=1"
2419221084_01a14176b4_0,"a white dog runs past another dog who is standing beside some patio furniture","grass=1|stands=3|running=3|race=1|white=4|sits=2|dogs=5"
2421446839_fe7d46c177_4,"white and black dog jumps at someone through car window","sitting=1|car=4|jumps=4|air=1|running=2|street=1|black=4|white=2|dogs=5"
2431470169_0eeba7d602_3,"man reading in a chair outside","shirt=1|sitting=4|face=1|air=1|field=1|carrying=1|smiling=1|sits=4"
2431832075_00aa1a4457_4,"this girl is playing on an object which is yellow green red and blue","toy=2|sitting=1|top=1|young=2|yellow=4|carrying=1|small=1|children=3|red=2|women=2"
2435685480_a79d42e564_2,"a woman in a knit cap and green coat its on a stone block looking out","wearing=5|stands=3|sitting=2|shirt=1|park=1|face=1|jacket=3|rock=1|sits=2|hat=4|road=1|women=4"
2436081047_bca044c1d3_4,"the young girl in the pink shirt and blue jeans is jumping off the tire swing","pink=5|wearing=2|little=1|shirt=2|tree=2|jumps=4|park=1|young=2|air=2|hair=1|field=3|small=1|grass=1|rides=1|children=3"
2443380641_7b38d18f5b_0,"a child in an orange shirt holding a baseball bat watches the ball thrown at him","wearing=2|boy=3|little=2|ball=4|shirt=3|field=2|park=1|young=3|air=1|small=1|stick=1|holding=1|orange=3|face=1|children=4"
2445283938_ff477c7952_1,"a group of girls sitting in a circle","little=1|grass=1|sitting=4|tree=1|park=1|young=4|face=1|field=1|small=1|sits=4|children=4|women=1"
244571201_0339d8e8d1_4,"several people and dogs are in or near a large outdoor swimming pool","mountain=1|ball=1|large=2|park=3|three=2|children=2|water=3|sits=1|dogs=5|pool=4|swimming=5"
2447284966_d6bbdb4b6e_4,"the boy wearing a black shirt and blue jeans is holding a red baseball bat","wearing=5|boy=4|ball=1|stands=1|young=3|field=2|carrying=2|black=4|stick=1|holding=4|hat=1|children=4|red=5|shirt=3"
2450299735_62c095f40e_2,"a little girl in a white shirt sliding down a green slide splashing into a blue baby pool","pink=1|wearing=2|little=3|jumps=1|top=1|park=1|young=5|children=2|water=3|baby=1|small=2|riding=2|smiling=2|women=1|rides=1|white=3|pool=5|swimming=3"
2450453051_f1d4a78ab4_4,"man in white shirt tossing frisbee for black and white dog who has a white frisbee in its mouth","wearing=2|toy=3|stands=1|jumps=3|top=1|park=1|air=1|field=2|running=2|carrying=3|black=2|holding=1|walks=1|mouth=2|white=3|face=1|dogs=4|shirt=2"
245252561_4f20f1c89e_4,"two dogs are playing together on the pavement","street=2|dogs=5|road=2"
2453971388_76616b6a82_4,"two young girls run through a pool while water sprays them","little=3|jumps=1|young=5|face=1|water=4|running=4|mouth=1|smiling=2|grass=1|beach=1|children=5|pool=3|swimming=2"
2458269558_277012780d_2,"a child is smiling while being on a swing","little=1|face=1|sitting=3|park=4|young=4|air=1|small=4|riding=1|smiling=5|sits=3|rides=1|children=5"
245895500_a4eb97af02_4,"the man is standing in the river next to smoking grass","large=1|stands=3|tree=1|ocean=1|water=5|field=2|holding=1|grass=4|swimming=1"
246055693_ccb69ac5c6_4,"a yellow dog jumping off of a porch","jumps=4|young=1|yellow=4|air=1|street=1|dogs=4"
2460797929_66446c13db_0,"a group of 6 boys are wearing yellow life vests and are on a make-shift raft","wearing=3|water=5|little=2|boy=4|jumps=1|sitting=3|young=3|yellow=2|jacket=2|small=1|riding=2|rides=1|children=4|pool=1"
2461616306_3ee7ac1b4b_1,"a boy jumps into a pool on a bright sunny day","wearing=1|boy=5|little=1|jumps=4|young=4|air=2|water=5|mouth=1|holding=1|children=4|pool=5|swimming=3"
2470486377_c3a39ccb7b_3,"the boy in the black sweatshirt is hitting the yellow object held by the boy in the blue sweatshirt","wearing=4|boy=4|little=2|ball=2|stands=1|young=3|yellow=3|jacket=1|black=4|holding=3|small=2|children=3|shirt=2"
2472980433_210ec62874_4,"the motorcycle is being ridden on a track whilst pulling a wheelie","bike=4|street=1|dirt=1|sitting=1|yellow=1|race=1|riding=4|rides=3|road=1"
2473689180_e9d8fd656a_2,"a wakeboarder is attempting a trick while holding on to lines pointed upward","boy=1|stands=1|rides=4|jumps=3|ocean=4|water=4|holding=2|riding=4|beach=3|swimming=1"
2473738924_eca928d12f_4,"two young girls sparring in white martial arts outfits while a third person watches from the side","wearing=2|little=2|young=4|three=2|white=2|children=5|women=2"
2473791980_805c819bd4_4,"a waterskier cuts through the blue water with sailboats in the background","jacket=1|stands=1|face=1|rides=2|running=1|air=1|water=5|sand=2|race=1|riding=2|ocean=5|beach=2|pool=1|swimming=1"
2475162978_2c51048dca_3,"a woman is running after a boy on the grass","boy=3|little=1|park=2|young=3|field=1|running=4|race=1|small=2|smiling=1|grass=5|children=4|women=4"
247637795_fdf26a03cf_2,"a woman holding a black leash and a man looking down","wearing=1|stands=1|carrying=1|face=1|running=1|street=1|black=3|holding=4|walks=1|women=5"
247704641_d883902277_3,"the black dog is walking along a tree trunk bridge over water","tree=1|water=3|running=1|black=3|walks=5|dogs=4"
2479162876_a5ce3306af_4,"dog in desert area with distant man in background","dirt=5|face=1|sand=2|walks=1|sits=1|dogs=4"
2479652566_8f9fac8af5_4,"a young girl wearing red sunglasses sits near a sink and holds the faucet","wearing=3|little=2|sitting=2|park=1|young=4|water=2|carrying=1|holding=2|small=1|sits=2|children=3|red=3|women=1"
2480327661_fb69829f57_3,"a young boy practicing martial arts","boy=4|jumps=1|young=4|stick=1|holding=1|children=1"
2480850054_de3433b54a_0,"a boy is kicking up dust as he runs in the dirt by a tree","boy=5|little=1|stands=1|brown=1|dirt=5|tree=5|young=2|air=1|field=1|running=4|race=1|mouth=1|sand=1|small=1|face=1|children=3|road=1"
2482629385_f370b290d1_4,"a large brown dog leans into the water from the grassy shore","water=5|stands=1|brown=4|park=1|ocean=4|large=2|field=1|sand=1|stick=1|grass=4|beach=2|dogs=4|pool=1|swimming=2"
2484190118_e89363c465_3,"a young man wearing a white t-shirt and green and black shorts standing on a stump","wearing=1|boy=2|stands=5|dirt=1|tree=2|top=1|skateboard=1|young=4|air=1|large=1|field=1|black=2|white=3|grass=1|shirt=3"
2490768374_45d94fc658_1,"a young girl smiles while wearing a teal fluffy skirt","wearing=5|little=2|stands=1|young=2|face=2|mouth=3|small=2|smiling=4|children=3"
249394748_2e4acfbbb5_3,"two white dogs running in the grass together","park=1|field=3|running=5|race=1|mouth=1|white=4|grass=3|dogs=5|pool=1"
2495931537_9b8d4474b6_3,"one dog sniffs another lying on the ground","sits=1|sitting=1|dirt=2|grass=3|dogs=5|road=1"
2496370758_a3fbc49837_1,"a white dog and a brown dog running across a grassy field","brown=4|field=4|running=3|race=3|white=1|grass=4|dogs=3"
2497420371_74788d7ba1_4,"a man outside at a red brick building with a grocery cart a bike and miscellaneous","building=2|bike=2|street=1|sitting=1|carrying=1|red=2|holding=2|rides=1|road=1"
2498897831_0bbb5d5b51_4,"three young girls pose together outside","wearing=1|little=1|stands=1|camera=2|three=4|young=4|hair=1|field=1|street=1|smiling=3|face=1|beach=1|children=3"
2501595799_6316001e89_3,"a little boy jumps into a child 's pool in a backyard","boy=5|little=1|jumps=4|young=3|water=4|small=4|children=4|pool=5|swimming=5"
2502905671_c6039804ab_1,"a dog waits for a man to throw a ball into the ocean","ball=5|stands=1|face=1|carrying=1|football=1|park=1|air=1|water=5|sand=3|toy=4|holding=3|sitting=1|ocean=5|beach=4|dogs=5|swimming=2"
2505988632_9541f15583_1,"a girl wearing pink shoes jumps over a rope and smiles","wearing=3|pink=3|little=1|jumps=5|young=2|air=1|mouth=2|small=1|smiling=3|face=2|children=4"
2510020918_b2ca0fb2aa_2,"a young boy dressed in a black hoodie crawling through a large white tube","wearing=2|boy=5|toy=1|shirt=1|sitting=1|large=2|top=1|park=1|young=5|jacket=1|black=5|small=2|climbing=1|white=3|children=3"
2511019188_ca71775f2d_2,"two dark colored dogs romp in the grass with a blue frisbee","toy=5|carrying=1|dirt=1|jumps=1|park=2|field=3|running=2|race=1|black=3|holding=2|mouth=2|grass=3|dogs=5"
2518508760_68d8df7365_3,"a muzzled race dog running","wearing=1|dirt=1|snow=1|running=4|race=4|mouth=2|grass=1|dogs=5|road=1"
2521770311_3086ca90de_1,"a boy in a long sleeve shirt is holding a box above his head","wearing=5|boy=4|little=2|stands=1|young=3|air=2|field=1|carrying=4|holding=5|walks=1|small=2|grass=1|children=4|shirt=1"
2522297487_57edf117f7_2,"a white woman in a green sweater holds a smiling child whilst a smiling boy in a yellow shirt looks on","wearing=3|boy=4|little=3|shirt=3|young=4|park=1|three=3|yellow=4|children=4|baby=3|carrying=4|mouth=2|holding=4|small=3|white=3|face=3|smiling=4|women=4"
2525270674_4ab536e7ec_4,"the brown and white dog is catching a frisbee in his mouth","brown=2|toy=4|dirt=1|jumps=3|park=2|air=1|field=1|running=1|carrying=2|mouth=4|holding=2|white=2|dogs=5"
2526041608_a9775ab8d7_4,"two young football players wearing blue and yellow uniforms fight for the ball","wearing=4|boy=2|little=1|ball=5|shirt=2|face=1|jumps=1|football=5|young=2|yellow=4|soccer=3|large=1|field=4|carrying=1|holding=1|grass=1|children=2"
2526585002_10987a63f3_4,"two men huddle around a dog","dogs=2"
2529116152_4331dabf50_1,"a man break dances","street=1|park=1"
2533424347_cf2f84872b_3,"a sponsored race car is spinning its tires on a track while being watched by spectators","street=2|stands=2|dirt=1|car=4|sitting=1|face=1|running=1|race=4|riding=1|rides=2|road=3"
2533642917_a5eace85e6_3,"a wet child standing in water","boy=1|little=2|stands=3|young=4|ocean=4|water=5|small=3|smiling=1|face=1|children=3|pool=3|swimming=1"
2534502836_7a75305655_4,"a white and tan dog runs through the tall green grass","brown=1|tree=1|park=1|water=2|field=1|running=4|race=1|mouth=1|white=4|grass=4|dogs=4"
2541104331_a2d65cfa54_3,"the large brown dog is running through shallow water","mountain=1|brown=3|dirt=1|large=3|sand=1|ocean=3|water=4|running=2|dogs=5|pool=3|swimming=1"
2542662402_d781dd7f7c_2,"a woman next to a dog which is running an obstacle course","dirt=1|jumps=2|field=1|running=4|race=2|holding=1|small=1|dogs=3|women=5"
254295381_d98fa049f4_2,"a dog has his paw on the red roof of a kennel","building=1|stands=1|jumps=1|football=1|climbing=1|dogs=3|red=3"
2543589122_ec3e55f434_3,"a dog is splashing through water trying to catch ice in its mouth","jumps=2|snow=2|ocean=1|water=5|carrying=1|mouth=5|white=1|dogs=5|pool=1|swimming=3"
2544182005_3aa1332bf9_3,"a young child rides a small purple bike while wearing a red helmet","wearing=3|boy=2|little=2|toy=1|street=1|rides=5|young=4|bike=5|race=1|mouth=1|road=2|holding=1|small=3|riding=4|smiling=1|sits=1|hat=2|children=4|red=3"
2544426580_317b1f1f73_2,"the baby in suspenders sits by a toy","wearing=2|little=3|toy=5|sitting=3|young=4|small=2|baby=5|sits=4|children=4"
2549968784_39bfbe44f9_3,"a young child wearing blue goggles sits on a raft in a swimming pool","wearing=4|boy=1|little=2|sitting=4|rides=2|young=4|face=1|water=5|mouth=1|small=1|sits=4|beach=2|children=2|pool=5|swimming=5"
2553550034_5901aa9d6c_1,"a boy climbs rocks in the woods","boy=3|little=1|shirt=1|tree=1|young=4|stick=1|holding=2|rock=4|small=2|climbing=5|grass=1|children=2"
2554081584_233bdf289a_0,"a climber is between two large red rocks","mountain=2|stands=1|dirt=1|large=5|young=1|hair=1|rock=5|climbing=5|red=4"
2559503010_84f20b3bc9_0,"a man stands outside a bank selling watermelons","water=1|building=3|street=1|grass=1|stands=3"
2559921948_06af25d566_3,"a young boy in a yellow rash guard is walking on the shore carrying a surfboard","wearing=3|boy=5|shirt=2|large=1|top=1|young=5|yellow=5|ocean=2|water=4|sand=4|carrying=4|holding=3|walks=4|beach=4|children=4|swimming=1"
256085101_2c2617c5d0_0,"a dog with its mouth opened","smiling=1|face=1|mouth=5|dogs=5|walks=1"
2573625591_70291c894a_2,"three dogs are running in a field","dirt=1|jumps=1|park=1|three=3|hair=1|field=4|running=4|race=1|grass=2|dogs=5"
2575647360_f5de38c751_3,"several people are sitting inside a dark art gallery","building=1|sitting=3|street=1|black=1|orange=1|sits=2|women=1"
2577972703_a22c5f2a87_0,"a girl making a sad face standing in front of her tricycle","pink=1|bike=2|little=2|stands=4|carrying=1|three=1|young=5|street=1|mouth=1|baby=1|riding=1|face=3|children=5|road=1"
2581066814_179d28f306_3,"the man leading cyclist through the city streets is butt naked","wearing=1|bike=5|sitting=2|face=1|air=1|street=4|mouth=1|riding=4|sits=1|rides=4|road=3"
2587818583_4aa8e7b174_4,"two men are watching three children playing in a ball pit full of colored balls","boy=1|little=4|ball=5|young=2|three=3|orange=3|toy=2|small=1|face=1|children=5|red=3"
2588927489_f4da2f11ec_4,"the little boy is taking a picture with the camera","boy=4|little=5|carrying=2|young=5|face=1|camera=5|holding=1|small=3|children=2"
2589241160_3832440850_3,"two dogs run toward each other","brown=1|toy=1|face=1|carrying=1|yellow=1|air=1|field=1|running=4|race=1|mouth=1|stick=1|grass=1|dogs=5"
2594042571_2e4666507e_3,"boy in tan hat laughs while sitting near playground equipment","boy=5|little=1|grass=1|stands=1|brown=1|top=1|sitting=2|park=2|young=3|face=2|sand=1|toy=1|mouth=1|holding=2|small=1|smiling=1|sits=2|hat=5|children=3"
2594902417_f65d8866a8_3,"two brown dogs in a field","brown=2|stands=1|dirt=1|park=1|sand=1|field=5|running=1|race=1|small=2|grass=3|dogs=5"
2595186208_9b16fa0ee3_1,"a black dog jumping into a lake","jumps=5|park=1|ocean=1|water=4|black=3|stick=1|beach=1|dogs=5|swimming=4"
2599444370_9e40103027_0,"a black dog paddles behind a black cat in a body of water","little=1|ocean=3|water=4|black=5|mouth=1|beach=2|dogs=5|pool=1|swimming=5"
2600867924_cd502fc911_3,"two dogs run and bark outdoors one white and brown one white and black","brown=3|dirt=1|park=2|field=2|running=5|street=1|black=1|stick=1|mouth=2|white=2|grass=1|dogs=5"
2602085456_d1beebcb29_2,"a topless woman is covered in mud","water=1|stands=1|brown=2|dirt=5|top=1|face=2|hair=1|smiling=1|women=5"
2602258549_7401a3cdae_4,"a man and woman are sitting at a restaurant table holding hands","building=1|sitting=3|face=1|holding=4|smiling=2|sits=5|women=3"
2603792708_18a97bac97_4,"two people walking on the beach at sunset","air=1|water=3|sand=4|walks=5|orange=2|smiling=1|ocean=4|beach=5|swimming=1"
260520547_944f9f4c91_3,"people walking down trail beside water","dirt=1|tree=1|walks=4|park=1|ocean=3|water=5|running=1|rock=1|grass=1|women=1"
2607462776_78e639d891_4,"the dog is leaping into the pond","jumps=5|park=1|air=1|water=3|running=1|mouth=1|stick=1|small=1|dogs=4|swimming=3"
260828892_7925d27865_2,"a person walks along the beach and leaves footprints in the sand","dirt=2|face=1|ocean=3|water=3|sand=5|walks=4|swimming=1|beach=5|women=1"
2608289957_044849f73e_2,"boy in pajamas with red and yellow toy seated on tire near plants","wearing=2|boy=5|little=2|toy=2|sitting=4|tree=1|young=1|yellow=1|face=2|holding=1|small=1|sits=5|children=2|red=2"
2610447973_89227ff978_2,"two people are sitting next to a wood-stacked campfire at night","sits=5|dirt=1|sitting=3|tree=1|sand=1|black=1|orange=1|grass=2|red=1"
2612488996_9450de0e54_2,"a homeless man stands with a sign next to orange construction cones","wearing=1|stands=5|dirt=1|carrying=1|field=1|street=3|mouth=1|holding=1|orange=4|grass=1|road=3|shirt=1"
261490838_2f3ac98b12_4,"the dog chases a deer near the woods","brown=1|dirt=1|tree=4|large=1|field=1|running=3|race=1|grass=1|dogs=2"
2616643090_4f2d2d1a44_4,"small child in green sweater with plant in mouth","wearing=2|boy=1|little=2|shirt=1|dirt=1|young=4|face=2|carrying=1|mouth=5|stick=1|holding=2|small=4|grass=2|children=5"
2621415349_ef1a7e73be_4,"a man with sunglasses on puts a chip in his mouth","wearing=2|face=1|mouth=4|holding=1|sitting=1"
2623930900_b9df917b82_4,"an old man with white long hair and a white long beard","hair=4|white=4|mouth=1|smiling=1|face=1"
2631300484_be8621d17b_0,"a blonde boy stands among people in a shady setting with a large snake wrapped around his chest","boy=3|stands=1|sitting=1|tree=1|young=4|yellow=1|large=1|carrying=2|holding=1|children=3"
263854883_0f320c1562_1,"two fluffy white dogs running in green grass","dirt=1|park=2|hair=1|field=3|running=4|white=3|grass=4|dogs=4"
2641770481_c98465ff35_4,"a man wearing a red jacket stands on the shore of a lake with a yellow kayak","wearing=3|water=4|stands=4|mountain=1|yellow=5|face=1|jacket=4|sand=2|carrying=1|holding=1|ocean=1|rides=1|red=2|shirt=1"
2644430445_47c985a2ee_1,"a woman in a low cut shirt takes a picture with her cellphone","wearing=2|shirt=2|top=1|young=2|face=3|camera=3|holding=2|walks=1|women=5"
