utt_key,transcription,keywords
2549968784_39bfbe44f9_3,"a young child wearing blue goggles sits on a raft in a swimming pool","wearing|sitting|young|water|sits|pool|swimming"
2553550034_5901aa9d6c_1,"a boy climbs rocks in the woods","boy|young|rock|climbing"
2554081584_233bdf289a_0,"a climber is between two large red rocks","large|rock|climbing|red"
2559503010_84f20b3bc9_0,"a man stands outside a bank selling watermelons","water|building|stands"
2559921948_06af25d566_3,"a young boy in a yellow rash guard is walking on the shore carrying a surfboard","wearing|boy|young|yellow|water|sand|carrying|holding|walks|beach|children"
256085101_2c2617c5d0_0,"a dog with its mouth opened","mouth|dogs"
2573625591_70291c894a_2,"three dogs are running in a field","three|field|running|dogs"
2575647360_f5de38c751_3,"several people are sitting inside a dark art gallery","sitting"
2577972703_a22c5f2a87_0,"a girl making a sad face standing in front of her tricycle","stands|young|face|children"
2581066814_179d28f306_3,"the man leading cyclist through the city streets is butt naked","bike|street|riding|rides|road"
2587818583_4aa8e7b174_4,"two men are watching three children playing in a ball pit full of colored balls","little|ball|three|orange|children|red"
2588927489_f4da2f11ec_4,"the little boy is taking a picture with the camera","boy|little|young|camera|small"
2589241160_3832440850_3,"two dogs run toward each other","running|dogs"
2594042571_2e4666507e_3,"boy in tan hat laughs while sitting near playground equipment","boy|sitting|young|hat|children"
2594902417_f65d8866a8_3,"two brown dogs in a field","brown|field|grass|dogs"
2595186208_9b16fa0ee3_1,"a black dog jumping into a lake","jumps|water|black|dogs|swimming"
2599444370_9e40103027_0,"a black dog paddles behind a black cat in a body of water","ocean|water|black|dogs|swimming"
2600867924_cd502fc911_3,"two dogs run and bark outdoors one white and brown one white and black","brown|running|black|white|dogs"
2602085456_d1beebcb29_2,"a topless woman is covered in mud","dirt|top|women"
2602258549_7401a3cdae_4,"a man and woman are sitting at a restaurant table holding hands","sitting|holding|sits|women"
2603792708_18a97bac97_4,"two people walking on the beach at sunset","water|sand|walks|ocean|beach"
260520547_944f9f4c91_3,"people walking down trail beside water","walks|ocean|water"
2607462776_78e639d891_4,"the dog is leaping into the pond","jumps|water|dogs|swimming"
260828892_7925d27865_2,"a person walks along the beach and leaves footprints in the sand","ocean|water|sand|walks|beach"
2608289957_044849f73e_2,"boy in pajamas with red and yellow toy seated on tire near plants","boy|toy|sitting|yellow|sits|red"
2610447973_89227ff978_2,"two people are sitting next to a wood-stacked campfire at night","sits|sitting"
2612488996_9450de0e54_2,"a homeless man stands with a sign next to orange construction cones","stands|street|orange|road"
261490838_2f3ac98b12_4,"the dog chases a deer near the woods","tree|running"
2616643090_4f2d2d1a44_4,"small child in green sweater with plant in mouth","young|mouth|small|children"
2621415349_ef1a7e73be_4,"a man with sunglasses on puts a chip in his mouth","mouth"
2623930900_b9df917b82_4,"an old man with white long hair and a white long beard","hair|white"
2631300484_be8621d17b_0,"a blonde boy stands among people in a shady setting with a large snake wrapped around his chest","boy|stands|young|large|children"
263854883_0f320c1562_1,"two fluffy white dogs running in green grass","field|running|white|grass|dogs"
2641770481_c98465ff35_4,"a man wearing a red jacket stands on the shore of a lake with a yellow kayak","wearing|water|stands|yellow|jacket|red"
2644430445_47c985a2ee_1,"a woman in a low cut shirt takes a picture with her cellphone","shirt|face|camera|women"
2646046871_c3a5dbb971_3,"a child jumping in the air with his or her shirt flying open","shirt|jumps|young|air|small|children"
2646116932_232573f030_3,"a young boy in a striped shirt is leaning against a tree while another child sits at a picnic table","boy|grass|stands|tree|sitting|young|field|sits|children|shirt"
2647049174_0fb47cee2e_0,"a child puts dirt into his mouth","boy|dirt|young|face|mouth|small|children"
2648165716_02e2e74fd6_3,"a little boy in a winnie the pooh t-shirt is waiting to swing his red bat","wearing|boy|little|stands|holding|children|red|shirt"
2649406158_ded6be38de_2,"a muzzled animal jumps over a metal bar and splashes through the mud","jumps"
2652522323_9218afd8c2_1,"a little girl with a hat playing ball with her mom","little|ball|young|hat|children|women"
2654514044_a70a6e2c21_0,"a brown dog running","brown|running|dogs"
2657484284_daa07a3a1b_4,"two people rafting down a river a footbridge in the background","water|sitting|riding|rides"
2660008870_b672a4c76a_3,"a redheaded boy has just come up from under the water in a pool","boy|young|water|pool|red|swimming"
2662845514_8620aaee96_3,"a martial artist breaks ice with a kick",""
2663794355_e726ec7e05_1,"two people sunbathe beside water","ocean|water|sand|beach"
2666179615_f05a9d8331_2,"a woman in a red shirt with her arm raised","shirt|young|red|women"
2666205903_8d287669e1_3,"a young oriential girl is standing above the crowd playing with a pinwheel","little|toy|stands|young|face|children"
2667015110_1670324a33_2,"a young boy is holding a book","boy|little|young|holding|children"
2675685200_0913d84d9b_4,"the boy in blue and white pajamas is sitting at the table eating","wearing|boy|sitting|young|white|sits"
2676764246_c58205a365_0,"the greyhounds are running quickly in this race","running|race|dogs"
2677656448_6b7e7702af_1,"a dog in a swimming pool swims toward sombody we cannot see","water|swimming|dogs|pool"
2682382530_f9f8fd1e89_1,"a man practicing a high kick on the cement near the grass","grass"
2683963310_20dcd5e566_2,"a blonde baby playing in the sand","young|baby|sand|beach|children"
2689001252_e0016c89f0_2,"girl in bathing suit pointing and laughing at child in orange bathing bottoms while another girl looks on","young|orange|smiling|children"
2693425189_47740c22ed_1,"a boy plays with a foam noodle toy by a pool","boy|young|water|toy|children|pool"
2696866120_254a0345bc_1,"a dog lies on the ground","dogs"
2698666984_13e17236ae_4,"woman jogging in the rain","water|running|women"
2704934519_457dc38986_4,"a woman splashes in the water","swimming|ocean|water|beach|pool|women"
2706766641_a9df81969d_0,"a child and floor covered in white powder","young|white|children"
270724499_107481c88f_3,"small dog running in the grass with a toy in its mouth","little|tennis|running|mouth|holding|small|toy|grass"
2707873672_15e6b5d54b_4,"two twin pre-teen boys dueling with sticks","boy|young|stick|holding|children"
270816949_ffad112278_4,"distant horse rider on plain in the middle of brown mountains","mountain|brown|field|riding|rides"
2708686056_1b8f356264_3,"girl is wading through the gray ocean","young|ocean|water|beach|children"
2712787899_d85048eb6a_2,"a young woman sitting on a ledge with a black purse looking at her finger nails","sitting|young|black|sits|women"
2715035273_8fc8b1291c_2,"two girls pass two boys by a tree in a neon lit street","boy|tree|young|street|children"
2718024196_3ff660416a_0,"a boy in a blue bathing suit jumps with his arms in the air in a backyard setting","wearing|boy|jumps|young|air|grass|children|pool"
2718495608_d8533e3ac5_0,"a brunette girl wearing sunglasses and a yellow shirt","wearing|shirt|young|yellow"
2723477522_d89f5ac62b_2,"the large brown dog is chasing after the little brown dog","brown|large|dogs|little"
2729655904_1dd01922fb_2,"two boys play with two dogs at the shore","boy|young|sand|children|water|ocean|beach|dogs"
2731171552_4a808c7d5a_0,"a boy held by a man points his arm towards the sky as another boy peers through his hands into the air","boy|holding|air|children"
2735558076_0d7bbc18fc_1,"a group of people sit on pavement wearing dark shoes and warm clothes","wearing|street|sits"
2739331794_4ae78f69a0_4,"someone is driving an orange motorbike along pavement","bike|orange|rides|road"
2748729903_3c7c920c4d_2,"a person hanging from a parachute makes a splash as their body hits the water","water|ocean"
2757803246_8aa3499d26_4,"a small child wearing blue smiles as he stands behind a group of people","wearing|boy|little|stands|young|mouth|small|smiling|children"
2759860913_f75b39d783_4,"a man wearing a yellow coat stands at the peak of a mountain","wearing|stands|top|yellow|air|jacket|climbing|mountain"
2762301555_48a0d0aa24_4,"a wet child shivers under a towel at a pool","young|water|small|children|pool"
2763044275_aa498eb88b_0,"a pack of black dogs running in grass","field|running|black|grass|dogs"
2764178773_d63b502812_4,"a person is holding onto a bicycle in the air with his body in flight position","air|bike|holding|riding|rides"
2774430374_fee1d793e7_3,"a small boy wearing a red shirt swinging a baseball bat","wearing|boy|little|ball|young|holding|small|children|red|shirt"
2774554310_007e980a90_1,"a woman in pink pants and a black tank top displays the tattoo on her back","wearing|pink|shirt|top|black|women"
2782433864_5a0c311d87_3,"two dogs meet and check out a third dog at the beach","three|ocean|water|sand|beach|dogs"
2788945468_74a9618cfa_2,"a middle aged man is standing next to a white wall underneath some catholic theme pictures","building|white|stands"
2796801478_8ebd7e550b_2,"a skateboarder is jumping through the air in front of a graffiti covered wall","skateboard|jumps|air|street|riding|rides"
2797149878_bb8e27ecf9_0,"a blond boy in a dark hoodie is holding a fishing rod","wearing|boy|carrying|holding|children"
279728508_6bd7281f3c_0,"a boy jumps into water fully clothed","wearing|boy|jumps|water|pool|swimming"
2806710650_e201acd913_1,"a person wearing a striped shirt is walking on a hill","wearing|shirt|walks"
280706862_14c30d734a_0,"a black dog emerges from the water onto the sand holding a white object in its mouth","mouth|ocean|water|carrying|black|holding|toy|white|beach|dogs|swimming|sand"
2813033949_e19fa08805_4,"there is a white and black dog jumping off the ground trying to catch a ball","ball|jumps|air|large|running|toy|black|white|dogs"
2813992915_f732cf8539_4,"bmx biker jumps off of ramp","bike|jumps|rides"
2815256108_fc1302117d_2,"two men are talking on the street ; one is pointing at a sign that says jesus or hell beneath a red box and the other is standing there listening","stands|street|red"
2822290399_97c809d43b_1,"a white dog is walking down a dirt road","dirt|street|walks|white|dogs|road"
2830869109_c4e403eae6_0,"a boy and girl playing with buckets in a lawn sprinkler","boy|young|water|grass|children"
2831217847_555b2f95ca_2,"a blue suv drives in a stream surrounded by woodlands","tree|water|car|riding|rides"
2839038702_e168128665_2,"a dog stands at the top of a mountain and looks on","mountain|stands|top|dogs"
2842865689_e37256d9ce_0,"an african man and a boy are standing behind a coarse wooden table in a blue room","boy|stands|children"
2843695880_eeea6c67db_2,"two people in water","water|ocean|pool|swimming"
2844018783_524b08e5aa_3,"three little boys are playing on the floor of an unfinished house","building|boy|little|three|young|small|children"
2844641033_dab3715a99_0,"a black boy in orange and white trucks on playing in the sand","wearing|boy|little|sand|white|young|ocean|black|orange|small|beach|children"
2847615962_c330bded6e_4,"the spotted dog rolls on its back","dogs"
2854207034_1f00555703_4,"there is one person lying in a large green field","grass|large|field"
2854959952_3991a385ab_3,"two dogs play catch with a ball in a field","ball|field|dogs"
2856080862_95d793fa9d_0,"a group of men are standing around during a sports game in a park","grass|stands|park|field"
2860872588_f2c7b30e1a_0,"a black and a blonde dog are either playing or fighting with each other","black|dogs"
2861932486_52befd8592_1,"a man is taking a look at the food products",""
2862004252_53894bb28b_2,"a brown and tan dog walks through the green grass","brown|walks|grass|dogs"
2866254827_9a8f592017_1,"a man on a yellow sport bike does a wheelie as his friend on a black bike catches up","race|bike|street|black|yellow|riding|sits|rides|road"
2868575889_2c030aa8ae_1,"a man in a red shirt is performing an aerial trick with a skateboard on a sidewalk","wearing|shirt|jumps|skateboard|air|street|riding|rides|red"
2869491449_1041485a6b_4,"two large dogs are fighting with teeth bared near some trees","tree|large|dogs"
2870875612_2cbb9e4a3c_4,"dog swimming in the water with a stick in its mouth","water|carrying|mouth|stick|dogs|swimming"
2876993733_cb26107d18_0,"empty seats at a stadium except for two people in green rain ponchos","wearing|stands|sitting"
2877503811_4e311253ec_4,"a group of ten people posing outside of a classic-style building","building|stands"
2878190821_6e4e03dc5f_2,"a young child with a dirty shirt is standing on a playground","little|stands|dirt|young|children|shirt"
2878272032_fda05ffac7_1,"a dog on a log looks at a splash in the water as another dog looks on","water|dogs"
2883099128_0b056eed9e_3,"a shirtless man is getting ready to hit a tennis ball","ball|tennis"
2884301336_dc8e974431_0,"a dog comes out of a blue baby pool with a ball in his mouth","ball|water|toy|mouth|holding|baby|dogs|pool|swimming"
2884420269_225d27f242_4,"two young men are both standing on one leg with their arms stretched out on the street","stands|young|street|road"
2885387575_9127ea10f1_3,"a gray dog chases a blue soccer ball on the grass","soccer|ball|dogs|running|toy|grass"
2886411666_72d8b12ce4_2,"a dog runs through a lush green lawn","running|grass|dogs"
2890113532_ab2003d74e_4,"two dogs running through a field","field|running|dogs"
2891617125_f939f604c7_3,"a person riding a dirt bike","bike|dirt|riding|rides"
2892995070_39f3c9a56e_0,"a black dog is running along the beach beside a brown dog in midair catching a stick in its mouth","brown|jumps|running|air|water|black|stick|mouth|beach|dogs"
2893374123_087f98d58a_0,"a blue motorcycle is jumping over some colored barrels","riding|jumps|air"
2894217628_f1a4153dca_0,"a holder and kicker for a football team dressed in orange white and black play while onlookers behind them watch","football|field|ball|black|orange|white"
2900274587_f2cbca4c58_1,"a sunset over a lake","water"
2901074943_041aba4607_0,"a child plays on the floor","young|small|children"
2901880865_3fd7b66a45_0,"a lone surfboarder on a white surfboard flying through the air over a wave","air|water|ocean|white|jumps"
2902269566_419d9f1d8e_3,"motocross rider during jump wearing black and white striped helmet","wearing|rides|jumps|black|riding|white"
2905942129_2b4bf59bc0_0,"a couple of smiling little boys ride together in a plastic chair-swing one on the other 's lap","boy|little|sitting|young|small|smiling|rides|children"
2909875716_25c8652614_1,"a girl in along grass field is spinning some yellow material around her","young|yellow|field|grass|children"
2909955251_4b326a46a7_1,"a lone yellow canoe being paddled through a river","yellow|water"
2910758605_73a3f5a5c2_2,"a man carries a child while he walks with a woman","carrying|young|holding|walks|children|women"
2913965136_2d00136697_4,"three boys play soccer","boy|ball|soccer|three|young|children"
2914206497_5e36ac6324_0,"a race cars muffler catches on fire","car|race"
2918769188_565dd48060_4,"the arm of a swimmer rises from the water inside the striped lane marker","water|race|pool|swimming"
2921094201_2ed70a7963_0,"a man sits in an airplane seat holding a young girl in his arms surrounded by other passengers","sitting|young|air|holding|riding|sits|children"
2922222717_12195af92d_4,"small black dog biting the fingers of a woman","little|mouth|small|black|dogs|women"
2922973230_5a769ef92a_4,"a woman walks to the cows","women|walks"
2924259848_effb4dcb82_3,"a person rides a dirt bike","dirt|bike|riding|rides"
2926233397_71e617f3a3_0,"a brown dog up to its neck in water","brown|water|dogs|swimming"
2926595608_69b22be8d4_0,"a group of basketball players wearing yellow and green reach for a ball","wearing|ball|yellow|shirt"
2928152792_b16c73434a_1,"a boy in a green soccer uniform hangs upside down from a farm vehicle","boy|young|climbing|soccer|children"
2929506802_5432054d77_0,"a boy pushes a wagon full of pumpkins","boy"
2932740428_b15384f389_3,"person popping a wheelie on a dirt road","bike|dirt|road"
293327462_20dee0de56_4,"two light brown dogs are tugging at a blue toy in front of a blue shed","brown|toy|mouth|dogs"
2933637854_984614e18b_1,"a football player wearing an orange uniform smiling and holding the football","wearing|ball|football|carrying|holding|orange|smiling|shirt"
2933912528_52b05f84a1_1,"two black dogs run in the sand by a pier","sand|ocean|running|black|beach|dogs"
2934359101_cdf57442dc_0,"a boxer is being examined in his corner by a member of his support team",""
2938120171_970564e3d8_0,"a large dog sniffing a smaller dog outside","large|small|dogs"
2938747424_64e64784f0_4,"white medium sized dog is running through the ocean","sand|ocean|water|running|white|dogs"
293879742_5fe0ffd894_4,"a small tan dog is jumping over a chain linked fence","little|jumps|dogs|small|top"
293881927_ac62900fd4_1,"one dog apparently standing on the edge of a fence confronts three others in a backyard setting","stands|three|dogs"
2943023421_e297f05e11_4,"there is a blue car on a road in the roads splashing through a puddle","street|car|water|road"
2944362789_aebbc22db4_0,"a man going skating down a slide while two kids look on","skateboard|young|children"
2944836001_b38b516286_0,"a black dog leaps for a ball held by a man","ball|jumps|black|holding|mouth|dogs"
2944952557_8484f0da8f_2,"a woman in blue has a yellow ball in her mitt","ball|yellow|women"
2945036454_280fa5b29f_0,"a dog is jumping in the air trying to catch a red frisbee","toy|jumps|air|mouth|dogs|red"
2949982320_c704b31626_3,"a young man does tricks with his bike on a course","jumps|young|bike|riding|rides"
2950905787_f2017d3e49_0,"a man is climbing the mountain","mountain|rock|climbing"
2953015871_cae796b6e7_1,"a black dog rolling in the green grass","black|grass|dogs"
2963573792_dd51b5fbfb_2,"a young girl is sliding down a slide at a playground","park|young|children"
2966552760_e65b22cd26_2,"a smiling child sits against a wall on a blanket and eats a snack","sitting|mouth|smiling|sits|children"
2968182121_b3b491df85_0,"a brown number six race dog is slightly behind a black race dog on a track","brown|running|race|black|dogs"
2971431335_e192613db4_2,"somebody in the air on a board","jumps|skateboard|air|riding"
2981702521_2459f2c1c4_1,"people standing in front of a subway train","top|stands"
2984174290_a915748d77_2,"man falling off a blue surfboard in the ocean","ocean|water|beach"
2985679744_75a7102aab_0,"a bearded man on a train","sits|rides"
2991575785_bd4868e215_2,"a girl in jeans tries to show an adult how high she can kick","young|women"
2991994415_504d1c0a03_1,"girls dressed in red and black costumes hold a wrestling pose","wearing|young|black|red"
2991994607_06f24ec7a6_2,"people are at a costume party",""
2994179598_a45c2732b5_1,"a man wears a orange jersey","wearing|orange"
2999730677_0cfa1c146e_3,"two puppies playing with each other surrounded by a bunch of leaves","young|dogs"
300314926_0b2e4b64f5_3,"a waterskier is jumping through the air whilst holding onto the line","jumps|air|water|holding|beach"
3003691049_f4363c2d5c_4,"the girl is playing with her dog in her driveway","young|street|dogs"
3004823335_9b82cbd8a7_2,"a dog in a grassy field looking up","grass|park|field|beach|dogs"
300550441_f44ec3701a_2,"a woman with a scarf on her head walks down a wooden boardwalk","wearing|walks|beach|women"
300577375_26cc2773a1_0,"a cop stands in front of a car on a busy street","stands|car|street|road"
3006093003_c211737232_3,"the obama supporter wears a black jacket and brown hat","wearing|brown|jacket|black|hat"
300922408_05a4f9938c_1,"a black man and his dog on the beach","black|ocean|beach|dogs"
3009644534_992e9ea2a7_1,"a dog carrying a white ball","ball|carrying|toy|mouth|white|dogs"
3015863181_92ff43f4d8_3,"the person in the white flowered shirt is bending down at the ball return in the bowling alley","ball|white|shirt"
3016606751_0e8be20abd_2,"a man steps off of a boulder","rock"
3017521547_f5ef8848e3_3,"two women are reaching with sticks for a ball during a sports game","ball|stick|women"
3019842612_8501c1791e_2,"a skateboarder in a light green shirt","wearing|shirt|skateboard"
3024172109_a10198e1dd_3,"a young man jumping through the air near a staircase","jumps|young|air"
3025549604_38b86198f5_4,"four young kids are sitting on large stools at a bar waiting for drinks","large|sitting|young|sits|children"
3027397797_4f1d305ced_4,"shirtless tattooed man rides skateboard down blurring street near beach","rides|skateboard|water|sand|street|riding|beach|road"
3028969146_26929ae0e8_0,"a beige dog with orange vest running on withering grass","running|orange|grass|dogs"
302983277_69a4e732e4_1,"a man rides a horse while mountains and clouds are shown in the background","mountain|riding|rides"
3030294889_78b2ccbe51_3,"three whales are jumping into the air at the same time in front of a very large crowd","large|jumps|three|air|water|swimming"
3030566410_393c36a6c5_1,"a woman holding a young boy slide down a water slide into a pool","boy|young|water|holding|swimming|pool|women"
3040033126_9f4b88261b_3,"a dog leaps over the water from a rock","water|rock|dogs"
3042380610_c5ea61eef8_4,"six people standing behind electrical equipment",""
3044500219_778f9f2b71_2,"four woman wearing formal gowns pose together and smile","wearing|smiling|hat"
3044536048_e615466e7f_0,"a lone parasurfer surfing a huge wave in the ocean","water|large|sand|riding|ocean|beach|swimming"
3044746136_8b89da5f40_1,"a classroom of students watching a presentation","young|children"
3045613316_4e88862836_2,"three men are staring at the big green hills in the distance","three|grass"
3047264346_e24601bfbf_1,"a man dressed as teen wolf hugs a woman made up like a vampire","women"
3048597471_5697538daf_0,"a brown dog is swimming through water with an orange ball in its mouth","brown|ball|water|mouth|orange|dogs|swimming"
3051384385_c5c850c1f8_3,"the child wearing striped pants is holding an object","wearing|young|carrying|holding"
3052196390_c59dd24ca8_0,"a group of children playing in a sprinkler","young|water|small|children"
3053743109_a2d780c0d2_4,"black and yellow teams are trying to get the basketball in the goal","ball|jumps|yellow|running|black"
3058439373_9276a4702a_1,"a crowd of people stand looking at somthing in a european courtyard","stands|street"
3061481868_d1e00b1f2e_2,"two people on a motorcycle","bike|riding|sits|rides"
3062173277_bfb5ef4c45_2,"boat number 5 has several men with life jackets paddling the water","wearing|water|jacket|ocean"
3064383768_f6838f57da_0,"a man surfing a wave","beach|ocean|rides|swimming"
3070011270_390e597783_0,"a black and brown dog is walking in the water and looking at the camera","brown|water|camera|black|walks|ocean|dogs"
3070031806_3d587c2a66_4,"man watching four dogs play on the beach","sand|ocean|water|beach|dogs"
3071676551_a65741e372_1,"a person surfing","ocean|water|riding|beach"
3072114570_e1c0127529_3,"two people riding a bike are riding towards a stop sign","top|bike|road|riding|rides"
3072172967_630e9c69d0_3,"two boys in green and white uniforms play basketball with two boys in blue and white uniforms","wearing|boy|ball|young|white|children"
307327914_f98f576adb_1,"a man wearing a blue shirt and glasses","wearing|face|shirt"
3074842262_62b1b2168c_4,"a young boy standing with a raised leg in a large pile of leaves","boy|little|stands|young|large|children"
3079787482_0757e9d167_4,"two young girls hug","young|children"
3080056515_3013830309_4,"two children standing very close","stands|young|children"
308487515_7852928f90_0,"a bird eating",""
3085226474_62aba51179_1,"people in a dance",""
3085667767_66041b202e_3,"a surfer jumps out of the water","jumps|water|ocean|beach|swimming"
3085667865_fa001816be_2,"a person in a wetsuit is in midair while surfing","wearing|air|water|ocean|riding|beach"
3095225232_2e6e6dc92e_2,"people ride up an escalator","riding"
309687244_4bdf3b591f_1,"a man in a gray shirt climbs a large rock wall","shirt|large|rock|climbing"
3099923914_fd450f6d51_0,"a group of people sit at a table in front of a large building","building|sitting|large|sits"
3100251515_c68027cc22_3,"a protest march is passing by a white stone building","building|walks|white"
3106026005_473a7b1c8c_4,"man sitting on a bench on the sidewalk","sitting|street|sits"
3107513635_fe8a21f148_2,"a train station says tychy miasto",""
3108197858_441ff38565_3,"little kids with their hands in the air","little|young|air|children"
3108732084_565b423162_4,"two snowboarders in a snowy scene","snowy|snow|rides"
3109704348_c6416244ce_3,"the man with the soccor ball is being hit by another man","ball|soccer"
3110649716_c17e14670e_3,"one man helps another attach a red ribbon to his forearm in the midst of a large group of people","large|red"
311146855_0b65fdb169_4,"two people are dancing with drums on the right and a crowd behind them",""
3113322995_13781860f2_4,"the dog team is pulling the man on the sled","snowy|snow|race|riding|dogs"
3114944484_28b5bb9842_2,"a group of people with their backs to the camera and a little girl facing a lady","little|face|camera|children|women"
3115174046_9e96b9ce47_1,"a skateboarder flies off the stairs","skateboard|air"
3116769029_f5a76f04ba_4,"young boy tosses autumn leaves","boy|young|air|children"
3119076670_64b5340530_1,"a snowboarder is performing a stunt in mostly dark","snowy|snow"
3119875880_22f9129a1c_0,"a boy climbs rocks","boy|young|rock|climbing|children"
3121521593_18f0ec14f7_1,"a woman leaning her head on the shoulder of another woman","face|women"
3123351642_3794f2f601_3,"a snowboarder launches off a ramp","snowy|jumps|snow|air|riding"
3123463486_f5b36a3624_1,"a dog runs","dogs"
3125309108_1011486589_2,"rugby match","ball|field|grass"
3128164023_ebe8da4c32_0,"dogs chase each other","running|dogs"
3135504530_0f4130d8f8_0,"one girl is wearing a white t-shirt with red sleeves ; the other has words on hers","wearing|shirt|young|white|red"
3138399980_d6ab8b2272_3,"a woman in orange throws her hand in the air","wearing|air|orange|women"
3139160252_75109e9e05_2,"three women are posing together in front of a christmas tree","stands|tree|three|women"
3139876823_859c7d7c23_0,"a downhill skier in black catches a tiny bit of air","mountain|snowy|jumps|snow|air|black"
3141293960_74459f0a24_2,"a skateboarder is performing a trick in the air","skateboard|air|riding"
3143155555_32b6d24f34_4,"two young children sitting together playing","little|sitting|young|sits|children"
3143982558_9e2d44c155_2,"a baby with a pink outfit on has a pacifier and she is on a chair with another woman","pink|wearing|sitting|young|small|mouth|baby|women"
3145967309_b33abe4d84_4,"the red haired woman in the black dress has her arms around a man in white","wearing|hair|black|white|red|women"
3149919755_f9272b10b3_0,"a black dog is looking at the ball on the beach by the ocean","ball|ocean|water|sand|black|beach|dogs"
3150742439_b8a352e1e0_4,"two people on a street one person looking down","street|tree|road"
3154641421_d1b9b8c24c_1,"a basketball player takes a shot","ball|jumps"
3155390408_8e1a81efb2_1,"a dog leaps up to catch a blue and tan ball","ball|dogs|jumps|air|mouth"
3155451946_c0862c70cb_0,"several basketball players are grabbing for the ball during a game","ball|jumps"
3155987659_b9ea318dd3_4,"the black and white dog tries to catch a red frisbee on green grass","park|field|running|black|white|grass|red"
3157847991_463e006a28_0,"these men are smoking outside a grey building","building"
315880837_90db309bab_0,"three dogs are playing in the white snow","snowy|three|snow|white|dogs"
3159995270_17334ccb5b_2,"a woman skiing","mountain|snowy|snow|rides|women"
3162045919_c2decbb69b_2,"a man in a wetsuit surfs","wearing|ocean|water|riding|beach"
3167365436_c379bda282_0,"a man and a woman wearing a head covering turn the video camera on themselves","wearing|face|camera|women"
3168123064_d1983b8f92_2,"a surfer in all black is riding a wave","rides|ocean|water|black|riding|beach|swimming"
317109978_cb557802e1_4,"brown dog with white mark in chest and black collar going over a limb on ground","brown|jumps|black|white|dogs"
317383917_d8bfa350b6_0,"a group of dogs stand in the snow","stands|snowy|snow|dogs"
317488612_70ac35493b_1,"a dog running through deep snow pack","snowy|snow|running|dogs"
3179336562_c3d0c0a3bd_3,"person in the midst of a ramp jump","jumps"
3181701312_70a379ab6e_0,"a homeless man living on the street","street"
3182121297_38c99b2769_3,"the snowboarder in the blue pants is performing a trick","snow|riding"
3185371756_ff4e9fa8a6_3,"a person in a blue sweatshirt is doing a back bend","shirt"
3185409663_95f6b958d8_3,"a young girl runs across a wet beach with the ocean in the background","sand|young|water|running|ocean|beach|children"
3186073578_6e115f45f5_1,"a man holding up a picture of two people suffering","carrying|holding"
3186412658_2ab2ebd397_3,"three young woman jumping into the air to catch a ball","ball|jumps|young|air|three|women"
3187395715_f2940c2b72_2,"a skateboarder midair with his skateboard","skateboard|jumps|air|riding|rides"
3187492926_8aa85f80c6_1,"a man in black bathing trunks dives into water","wearing|water|black|beach|pool|swimming"
3191135894_2b4bdabb6d_1,"a crowd is gathering on a grassy plain","field|grass"
3192069971_83c5a90b4c_0,"a boy wearing a blue helmet rides a bike with his feet on the handlebars","wearing|boy|sitting|bike|riding|rides"
3192266178_f9bf5d3dba_3,"a man in blue with a black hat with a dog leaping at him in a park-like setting","jumps|park|black|grass|hat|dogs"
3197917064_e679a44b8e_1,"a white dog carries something in its mouth through the snow","snowy|carrying|snow|mouth|holding|walks|white|dogs"
3197981073_3156963446_1,"a woman singing and playing the acoustic guitar onstage","women"
3200120942_59cfbb3437_2,"one person is on a ski lift while another snowboards","snowy|snow|jacket"
3201427741_3033f5b625_3,"a woman in a scarf looks sideways at the camera and holds a small child","little|young|face|baby|camera|holding|small|children|women"
3203453897_6317aac6ff_4,"there is a man with a young child in a red outfit looking at advertisements","young|small|children|red|shirt"
3203908917_53e53c03d1_2,"men burn an israeli flag",""
3207358897_bfa61fa3c6_1,"a person waving long red flags","carrying|holding|red"
3208074567_ac44aeb3f3_3,"little kid in red pooh shirt getting wet","boy|little|shirt|young|water|children|red"
3211556865_d1d9becf69_3,"man on top of a mountain with his arms in the air","mountain|stands|snowy|top|air|climbing"
3213992947_3f3f967a9f_1,"a woman in a puffy red jacket poses for a picture at an ice skating rink","wearing|jacket|camera|red|women"
3214237686_6566b8b52f_0,"a lone snowboarder jumping in the air doing a trick","mountain|snowy|snow|air|rides|jumps"
3214573346_d3a57f0328_3,"a white dog with black spots jumps in midair","jumps|air|black|white|dogs"
3214885227_2be09e7cfb_4,"a single person rowing a small boat on a lake","water|small"
3216926094_bc975e84b9_1,"a dog carrying something blue and running","carrying|running|mouth|holding"
3217187564_0ffd89dec1_4,"three race dogs run to finish a race","three|running|race|dogs"
3217266166_4e0091860b_1,"little kids playing with sparklers at night","little|young|holding"
3217620013_8b17873273_0,"a basketball player in a red uniform is holding the ball while a player in a white uniform is trying to block him","wearing|ball|holding|white|red"
3217910740_d1d61c08ab_1,"a woman helps boys on a computer","boy|young|children|women"
3218480482_66af7587c8_3,"a referee watches two basketball players playing basketball","ball"
3220126881_b0a4f7cccb_0,"three people stand by a doorway posing for a photograph","building|three|camera|smiling"
3220161734_77f42734b9_0,"a blond haired child in a black outfit and red belt doing karate","young|hair|black|children|red"
3220650628_4ed964e5b4_2,"a small crowd in winter jackets stand in a snow field looking at fireworks","wearing|stands|snowy|snow|jacket|field|small"
